state,gender,year,name,count
AK,F,1910,Margaret,8
AK,F,1910,Helen,7
AK,F,1911,Mary,12
AK,F,1911,Annie,6
AK,F,1911,Elizabeth,6
AK,F,1911,Helen,6
AK,F,1912,Mary,9
AK,M,1947,Jack,12
AK,M,1947,Patrick,12
AK,M,1947,Dale,11
FL,F,1910,Annie,101
FL,F,1910,Ethel,82
FL,F,1910,Willie,71
FL,F,1910,Louise,70
FL,F,1910,Lillie,69
FL,F,1910,Ruby,65
FL,F,1910,Ruth,56
LA,F,1910,Mary,586
LA,F,1910,Annie,169
LA,F,1910,Louise,157
LA,F,1910,Marie,152
LA,F,1910,Lillian,116
LA,F,1910,Helen,113
LA,F,1910,Elizabeth,100
LA,F,1910,Rose,90
WI,F,1910,Marie,145
WI,F,1910,Florence,134
WI,F,1910,Esther,121
WI,F,1910,Irene,113
WI,F,1910,Rose,105
NC,M,1920,Ira,46
NC,M,1920,Isaac,46
NC,M,1920,Jimmie,46
NC,M,1920,Tom,46
NC,M,1920,Garland,45
NC,M,1920,Billy,44
DC,F,1910,Thelma,15
DC,F,1910,Viola,15
DC,F,1910,Edna,14
DC,F,1910,Clara,13
IN,M,2009,Garrison,6
IN,M,2009,Gustavo,6
IN,M,2009,Jaedyn,6
IN,M,2007,Willem,5
IN,M,2008,Jacob,538
IN,M,2008,Ethan,522
IN,M,2008,Noah,427
IN,M,2008,William,410
IN,F,1959,Leslie,101
IN,F,1959,Regina,101
IN,F,1959,Alice,96
IN,F,1959,Darla,96
